계정코드,계정명칭,차대변구분
1110100,현금및현금등가물,차/대변 모두 가능
1110101,현금,차/대변 모두 가능
1110102,당좌예금,차/대변 모두 가능
1110103,보통예금,차/대변 모두 가능
1110104,보통예금(MMF),차/대변 모두 가능
1110105,보통예금(MMDA),차/대변 모두 가능
1110106,보통예금(CMA),차/대변 모두 가능
1110107,보통예금(정기예금),차/대변 모두 가능
1110108,현금등가물,차/대변 모두 가능
1110109,외화보통예금,차/대변 모두 가능
1110110,보통예금(MMT),차/대변 모두 가능
1110200,단기금융상품,차/대변 모두 가능
1110201,단기금융상품(정기예금),차/대변 모두 가능
1110202,단기금융상품(외화정기예금),차/대변 모두 가능
1110203,단기매매증권,차/대변 모두 가능
1110204,단기금융상품(기타),차/대변 모두 가능
1110205,단기매매증권(기타),차/대변 모두 가능
1110300,매도가능증권(단기),차/대변 모두 가능
1110301,매도가능증권(단기:투자주식),차/대변 모두 가능
1110302,매도가능증권(단기:출자금),차/대변 모두 가능
1110303,매도가능증권(단기:국민주택채권,차/대변 모두 가능
1110304,매도가능증권(단기:지역개발공채,차/대변 모두 가능
1110305,매도가능증권(단기:기타),차/대변 모두 가능
1110400,만기보유증권(단기),차/대변 모두 가능
1110401,만기보유증권(단기:국민주택채권,차/대변 모두 가능
1110402,만기보유증권(단기:지역개발공채,차/대변 모두 가능
1110403,유동당기손익금융자산(지분),차/대변 모두 가능
1110404,유동당기손익금융자산(채무),차/대변 모두 가능
1110500,매출채권,차/대변 모두 가능
1110502,받을어음(실물어음),차/대변 모두 가능
1110503,받을어음(전자어음),차/대변 모두 가능
1110504,받을어음(구매카드),차/대변 모두 가능
1110511,외상매출금(카드),차/대변 모두 가능
1110512,외상매출금(상품권),차/대변 모두 가능
1110513,외상매출금(여행사),차/대변 모두 가능
1110514,외상매출금(대내),차/대변 모두 가능
1110515,외상매출금(대외),차/대변 모두 가능
1110516,외상매출금(패키지),차/대변 모두 가능
1110517,외상매출금(스파),차/대변 모두 가능
1110518,외상매출금(현금),차/대변 모두 가능
1110519,외상매출금(일반),차/대변 모두 가능
1110600,대손충당금(매출채권),차/대변 모두 가능
1110700,대손충당금(외상매출금),차/대변 모두 가능
1110800,대손충당금(실물어음),차/대변 모두 가능
1110900,공사미수금,차/대변 모두 가능
1110901,공사미수금(공사미수),차/대변 모두 가능
1110902,공사미수금(진행율),차/대변 모두 가능
1110903,대손충당금(공사미수),차/대변 모두 가능
1111000,분양미수금,차/대변 모두 가능
1111001,분양미수금(아파트),차/대변 모두 가능
1111002,분양미수금(상가),차/대변 모두 가능
1111003,분양미수금(확장),차/대변 모두 가능
1111004,분양미수금(옵션),차/대변 모두 가능
1111005,대손충당금(분양미수),차/대변 모두 가능
1111006,분양미수금(오피스),차/대변 모두 가능
1111007,분양미수금(택지),차/대변 모두 가능
1111100,임대미수금,차/대변 모두 가능
1111105,대손충당금(임대미수),차/대변 모두 가능
1111200,용역미수금,차/대변 모두 가능
1111201,용역미수금(분양대행),차/대변 모두 가능
1111202,용역미수금(기업광고),차/대변 모두 가능
1111203,용역미수금(용역미수),차/대변 모두 가능
1111204,용역미수금(진행률),차/대변 모두 가능
1111205,대손충당금(용역미수),차/대변 모두 가능
1111300,단기대여금,차/대변 모두 가능
1111301,단기대여금(기타),차/대변 모두 가능
1111302,단기대여금(무이자),차/대변 모두 가능
1111303,단기대여금(관계사),차/대변 모두 가능
1111304,단기영업대여금,차/대변 모두 가능
1111400,대손충당금(단기대여),차/대변 모두 가능
1111500,미수금,차/대변 모두 가능
1111501,미수금(소득세),차/대변 모두 가능
1111502,미수금(주민세),차/대변 모두 가능
1111503,미수금(임대료),차/대변 모두 가능
1111504,미수금(부가세),차/대변 모두 가능
1111505,미수금(공동공사비),차/대변 모두 가능
1111506,미수금(퇴직금),차/대변 모두 가능
1111507,미수금(재산세),차/대변 모두 가능
1111508,미수금(화재보험),차/대변 모두 가능
1111509,미수금(기타),차/대변 모두 가능
1111510,미수금(후불제보증료),차/대변 모두 가능
1111511,미수금(후불제이자),차/대변 모두 가능
1111512,미수금(임대보증금),차/대변 모두 가능
1111513,미수금(관리비),차/대변 모두 가능
1111514,미수금(연체료),차/대변 모두 가능
1111515,미수금(배당금),차/대변 모두 가능
1111516,미수금(국민연금),차/대변 모두 가능
1111517,미수금(건강보험),차/대변 모두 가능
